Date,Open,High,Low,Close,Volume,Adj Close
2012-02-02,455.90,457.17,453.98,455.12,6671300,453.17
2012-02-03,457.30,460.00,455.56,459.68,10235700,457.71
2012-02-06,458.38,464.98,458.20,463.97,8907600,461.99
2012-02-07,465.25,469.75,464.58,468.83,11293700,466.83
2012-02-08,470.50,476.79,469.70,476.68,14567500,474.64
2012-02-09,480.76,496.75,480.56,493.17,31579100,491.06
2012-02-10,490.96,497.62,488.55,493.42,22546500,491.31
2012-02-13,499.53,503.83,497.09,502.60,18472000,500.45
2012-02-14,504.66,509.56,502.00,509.46,16442800,507.28
2012-02-15,514.26,526.29,496.89,497.67,53790000,495.54
2012-02-16,491.50,504.89,486.63,502.21,33734000,500.06
2012-02-17,503.11,507.77,500.30,502.12,19135900,499.97
2012-02-21,506.88,514.85,504.12,514.85,21628400,512.65
2012-02-22,513.08,515.49,509.07,513.04,17260800,510.85
2012-02-23,515.08,517.83,509.50,516.39,20286700,514.18
2012-02-24,519.67,522.90,518.64,522.41,14824000,520.18
2012-02-27,521.31,528.50,516.28,525.76,19556500,523.51
2012-02-28,527.96,535.41,525.85,535.41,21442400,533.12
2012-02-29,541.56,547.61,535.70,542.44,34000400,540.12
2012-03-01,548.17,548.21,538.77,544.47,24402500,542.14
2012-03-02,544.24,546.80,542.52,545.18,15418300,542.85
2012-03-05,545.42,547.48,526.00,533.16,28897300,530.88
2012-03-06,523.66,533.69,516.22,530.26,28937100,527.99
2012-03-07,536.80,537.78,523.30,530.69,28518600,528.42
2012-03-08,534.69,542.99,532.12,541.99,18444900,539.67
2012-03-09,544.21,547.74,543.11,545.17,14961400,542.84
2012-03-12,548.98,552.00,547.00,552.00,14545800,549.64
2012-03-13,557.54,568.18,555.75,568.10,24673400,565.67
2012-03-14,578.05,594.72,575.40,589.58,50673000,587.06
2012-03-15,599.61,600.01,578.55,585.56,41418500,583.06
2012-03-16,584.72,589.20,578.00,585.57,29481700,583.07
2012-03-19,598.37,601.77,589.05,601.10,32187000,598.53
2012-03-20,599.51,606.90,591.48,605.96,29166500,603.37
2012-03-21,602.74,609.65,601.41,602.50,23001500,599.92
2012-03-22,597.78,604.50,595.53,599.34,22281100,596.78
2012-03-23,600.49,601.80,594.40,596.05,15374600,593.50
2012-03-26,599.79,607.15,595.26,606.98,21276500,604.39
2012-03-27,606.18,616.28,606.06,614.48,21683200,611.85
2012-03-28,618.38,621.45,610.31,617.62,23409300,614.98
2012-03-29,612.78,616.56,607.23,609.86,21722800,607.25
2012-03-30,608.77,610.56,597.94,599.55,26108500,596.99
2012-04-02,601.83,618.77,600.38,618.63,21369700,615.99
2012-04-03,627.30,632.21,622.51,629.32,29805700,626.63
2012-04-04,624.35,625.86,617.00,624.31,20463600,621.64
2012-04-05,626.98,634.66,623.40,633.68,22903500,630.97
2012-04-09,626.13,639.84,625.30,636.23,21340600,633.51
2012-04-10,639.93,644.00,626.00,628.44,31775900,625.75
2012-04-11,636.20,636.87,623.34,626.20,24879100,623.52
2012-04-12,625.00,631.33,620.50,622.77,21940600,620.11
2012-04-13,624.11,624.70,603.51,605.23,30701600,602.64
2012-04-16,610.06,610.28,578.25,580.13,37528100,577.65
2012-04-17,578.94,610.00,571.91,609.70,36626000,607.09
2012-04-18,613.72,620.25,602.71,608.34,34090400,605.74
2012-04-19,600.22,604.73,584.52,587.44,29811400,584.93
2012-04-20,591.38,594.62,570.42,572.98,36820900,570.53
